RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,sH,sW,time,gflops
SLURM_48517,2048,4096,3,7,2048,4096,conv,same,zero,0,1,1,0.085794814,4.10656
SLURM_48518,2048,4096,3,9,2048,4096,conv,same,zero,0,1,1,0.106322472,4.260481
SLURM_48519,2048,4096,3,11,2048,4096,conv,same,zero,0,1,1,0.129418689,4.277961
SLURM_48520,2048,4096,5,3,2048,4096,conv,same,zero,0,1,1,0.073069852,3.444078
SLURM_48521,2048,4096,5,5,2048,4096,conv,same,zero,0,1,1,0.111220788,3.771151
SLURM_48522,2048,4096,5,7,2048,4096,conv,same,zero,0,1,1,0.141489106,4.150161
SLURM_48523,2048,4096,5,9,2048,4096,conv,same,zero,0,1,1,0.199353049,3.787124
SLURM_48524,2048,4096,5,11,2048,4096,conv,same,zero,0,1,1,0.24463404,3.771948
SLURM_48525,2048,4096,7,3,2048,4096,conv,same,zero,0,1,1,0.099314679,3.547527
SLURM_48526,2048,4096,7,5,2048,4096,conv,same,zero,0,1,1,0.166139741,3.53439
SLURM_48527,2048,4096,7,7,2048,4096,conv,same,zero,0,1,1,0.222549587,3.693934
SLURM_48528,2048,4096,7,9,2048,4096,conv,same,zero,0,1,1,0.275865773,3.831445
SLURM_48529,2048,4096,7,11,2048,4096,conv,same,zero,0,1,1,0.342497334,3.771841
SLURM_48530,2048,4096,9,3,2048,4096,conv,same,zero,0,1,1,0.144436658,3.136218
SLURM_48531,2048,4096,9,5,2048,4096,conv,same,zero,0,1,1,0.228744578,3.300514
SLURM_48532,2048,4096,9,7,2048,4096,conv,same,zero,0,1,1,0.305323741,3.461783
SLURM_48533,2048,4096,9,9,2048,4096,conv,same,zero,0,1,1,0.384200722,3.537095
SLURM_48534,2048,4096,9,11,2048,4096,conv,same,zero,0,1,1,0.483377871,3.43612
SLURM_48535,2048,4096,11,3,2048,4096,conv,same,zero,0,1,1,0.201261736,2.750886
SLURM_48536,2048,4096,11,5,2048,4096,conv,same,zero,0,1,1,0.279775096,3.298174
SLURM_48537,2048,4096,11,7,2048,4096,conv,same,zero,0,1,1,0.367722858,3.513096
SLURM_48538,2048,4096,11,9,2048,4096,conv,same,zero,0,1,1,0.48021595,3.458745
SLURM_48539,2048,4096,11,11,2048,4096,conv,same,zero,0,1,1,0.61599742,3.295538
SLURM_48540,3072,1024,3,3,3072,1024,conv,same,zero,0,1,1,0.019469624,2.908279
SLURM_48541,3072,1024,3,5,3072,1024,conv,same,zero,0,1,1,0.027685002,3.408771
SLURM_48542,3072,1024,3,7,3072,1024,conv,same,zero,0,1,1,0.033708451,3.919509
SLURM_48543,3072,1024,3,9,3072,1024,conv,same,zero,0,1,1,0.040356433,4.209225
SLURM_48544,3072,1024,3,11,3072,1024,conv,same,zero,0,1,1,0.048907191,4.245144
SLURM_48545,3072,1024,5,3,3072,1024,conv,same,zero,0,1,1,0.027909983,3.381293
SLURM_48546,3072,1024,5,5,3072,1024,conv,same,zero,0,1,1,0.04239606,3.70993
SLURM_48547,3072,1024,5,7,3072,1024,conv,same,zero,0,1,1,0.054038519,4.074889
SLURM_48548,3072,1024,5,9,3072,1024,conv,same,zero,0,1,1,0.075250989,3.762283
SLURM_48549,3072,1024,5,11,3072,1024,conv,same,zero,0,1,1,0.091417773,3.785151
SLURM_48550,3072,1024,7,3,3072,1024,conv,same,zero,0,1,1,0.037782975,3.496828
SLURM_48551,3072,1024,7,5,3072,1024,conv,same,zero,0,1,1,0.062292386,3.534958
SLURM_48552,3072,1024,7,7,3072,1024,conv,same,zero,0,1,1,0.08469,3.640115
SLURM_48553,3072,1024,7,9,3072,1024,conv,same,zero,0,1,1,0.104926668,3.777512
SLURM_48554,3072,1024,7,11,3072,1024,conv,same,zero,0,1,1,0.128905046,3.758131
SLURM_48555,3072,1024,9,3,3072,1024,conv,same,zero,0,1,1,0.058670304,2.89532
SLURM_48556,3072,1024,9,5,3072,1024,conv,same,zero,0,1,1,0.091297262,3.10103
SLURM_48557,3072,1024,9,7,3072,1024,conv,same,zero,0,1,1,0.118284882,3.350908
SLURM_48558,3072,1024,9,9,3072,1024,conv,same,zero,0,1,1,0.147660169,3.451221
SLURM_48559,3072,1024,9,11,3072,1024,conv,same,zero,0,1,1,0.185070103,3.365504
SLURM_48560,3072,1024,11,3,3072,1024,conv,same,zero,0,1,1,0.081524799,2.546686
SLURM_48561,3072,1024,11,5,3072,1024,conv,same,zero,0,1,1,0.110736646,3.124802
SLURM_48562,3072,1024,11,7,3072,1024,conv,same,zero,0,1,1,0.138841909,3.489163
SLURM_48563,3072,1024,11,9,3072,1024,conv,same,zero,0,1,1,0.179599295,3.468021
SLURM_48564,3072,1024,11,11,3072,1024,conv,same,zero,0,1,1,0.230876624,3.297286
SLURM_48565,3072,2048,3,3,3072,2048,conv,same,zero,0,1,1,0.038368827,2.951516
SLURM_48566,3072,2048,3,5,3072,2048,conv,same,zero,0,1,1,0.051685061,3.651803
SLURM_48567,3072,2048,3,7,3072,2048,conv,same,zero,0,1,1,0.063536729,4.158872
SLURM_48568,3072,2048,3,9,3072,2048,conv,same,zero,0,1,1,0.078136028,4.348041
SLURM_48569,3072,2048,3,11,3072,2048,conv,same,zero,0,1,1,0.09645909,4.30479
SLURM_48570,3072,2048,5,3,3072,2048,conv,same,zero,0,1,1,0.055042262,3.429068
SLURM_48571,3072,2048,5,5,3072,2048,conv,same,zero,0,1,1,0.083842088,3.751968
SLURM_48572,3072,2048,5,7,3072,2048,conv,same,zero,0,1,1,0.107372716,4.101619
SLURM_48573,3072,2048,5,9,3072,2048,conv,same,zero,0,1,1,0.149807726,3.779719
SLURM_48574,3072,2048,5,11,3072,2048,conv,same,zero,0,1,1,0.182699305,3.787974
SLURM_48575,3072,2048,7,3,3072,2048,conv,same,zero,0,1,1,0.074554047,3.54429
SLURM_48576,3072,2048,7,5,3072,2048,conv,same,zero,0,1,1,0.12373253,3.559306
SLURM_48577,3072,2048,7,7,3072,2048,conv,same,zero,0,1,1,0.167598785,3.678802
SLURM_48578,3072,2048,7,9,3072,2048,conv,same,zero,0,1,1,0.207619217,3.81816
SLURM_48579,3072,2048,7,11,3072,2048,conv,same,zero,0,1,1,0.26262044,3.689295
SLURM_48580,3072,2048,9,3,3072,2048,conv,same,zero,0,1,1,0.108529459,3.130382
SLURM_48581,3072,2048,9,5,3072,2048,conv,same,zero,0,1,1,0.171830049,3.295297
SLURM_48582,3072,2048,9,7,3072,2048,conv,same,zero,0,1,1,0.229277849,3.457479
SLURM_48583,3072,2048,9,9,3072,2048,conv,same,zero,0,1,1,0.290573392,3.507602
SLURM_48584,3072,2048,9,11,3072,2048,conv,same,zero,0,1,1,0.412914638,3.016866
SLURM_48585,3072,2048,11,3,3072,2048,conv,same,zero,0,1,1,0.152502665,2.722812
SLURM_48586,3072,2048,11,5,3072,2048,conv,same,zero,0,1,1,0.208098329,3.32564
SLURM_48587,3072,2048,11,7,3072,2048,conv,same,zero,0,1,1,0.277201508,3.495234
SLURM_48588,3072,2048,11,9,3072,2048,conv,same,zero,0,1,1,0.360759285,3.453018
SLURM_48589,3072,2048,11,11,3072,2048,conv,same,zero,0,1,1,0.46203434,3.29528
SLURM_48590,3072,3072,3,3,3072,3072,conv,same,zero,0,1,1,0.056781078,2.991654
SLURM_48591,3072,3072,3,5,3072,3072,conv,same,zero,0,1,1,0.077282946,3.663363
SLURM_48592,3072,3072,3,7,3072,3072,conv,same,zero,0,1,1,0.094761544,4.182728
SLURM_48593,3072,3072,3,9,3072,3072,conv,same,zero,0,1,1,0.117063918,4.353245
SLURM_48594,3072,3072,3,11,3072,3072,conv,same,zero,0,1,1,0.1450803,4.293168
SLURM_48595,3072,3072,5,3,3072,3072,conv,same,zero,0,1,1,0.082203852,3.444066
SLURM_48596,3072,3072,5,5,3072,3072,conv,same,zero,0,1,1,0.125005114,3.774719
SLURM_48597,3072,3072,5,7,3072,3072,conv,same,zero,0,1,1,0.159806399,4.13377
SLURM_48598,3072,3072,5,9,3072,3072,conv,same,zero,0,1,1,0.224342713,3.785933
SLURM_48599,3072,3072,5,11,3072,3072,conv,same,zero,0,1,1,0.280218668,3.704572
SLURM_48600,3072,3072,7,3,3072,3072,conv,same,zero,0,1,1,0.113832417,3.481976
SLURM_48601,3072,3072,7,5,3072,3072,conv,same,zero,0,1,1,0.185758726,3.556241
SLURM_48602,3072,3072,7,7,3072,3072,conv,same,zero,0,1,1,0.25081879,3.6873
SLURM_48603,3072,3072,7,9,3072,3072,conv,same,zero,0,1,1,0.311019,3.823191
SLURM_48604,3072,3072,7,11,3072,3072,conv,same,zero,0,1,1,0.385704567,3.767978
SLURM_48605,3072,3072,9,3,3072,3072,conv,same,zero,0,1,1,0.162722639,3.131758
SLURM_48606,3072,3072,9,5,3072,3072,conv,same,zero,0,1,1,0.257336062,3.300535
SLURM_48607,3072,3072,9,7,3072,3072,conv,same,zero,0,1,1,0.34435049,3.453125
SLURM_48608,3072,3072,9,9,3072,3072,conv,same,zero,0,1,1,0.435173981,3.513132
SLURM_48609,3072,3072,9,11,3072,3072,conv,same,zero,0,1,1,0.555458199,3.364002
SLURM_48610,3072,3072,11,3,3072,3072,conv,same,zero,0,1,1,0.231184415,2.694187
SLURM_48611,3072,3072,11,5,3072,3072,conv,same,zero,0,1,1,0.323336481,3.210557
SLURM_48612,3072,3072,11,7,3072,3072,conv,same,zero,0,1,1,0.412730176,3.52125
SLURM_48613,3072,3072,11,9,3072,3072,conv,same,zero,0,1,1,0.546359999,3.420021
SLURM_48614,3072,3072,11,11,3072,3072,conv,same,zero,0,1,1,0.692365243,3.298546
SLURM_48615,3072,4096,3,3,3072,4096,conv,same,zero,0,1,1,0.078965751,2.868236
SLURM_48616,3072,4096,3,5,3072,4096,conv,same,zero,0,1,1,0.103576103,3.644541
SLURM_48617,3072,4096,3,7,3072,4096,conv,same,zero,0,1,1,0.140794637,3.753568
SLURM_48618,3072,4096,3,9,3072,4096,conv,same,zero,0,1,1,0.155578545,4.367423
SLURM_48619,3072,4096,3,11,3072,4096,conv,same,zero,0,1,1,0.192338067,4.317773
SLURM_48620,3072,4096,5,3,3072,4096,conv,same,zero,0,1,1,0.109145274,3.458577
SLURM_48621,3072,4096,5,5,3072,4096,conv,same,zero,0,1,1,0.166359494,3.781844
